,,model,0
EC_intersection_union_sample,std,Knn,0.013035605959675787
EC_intersection_union_sample,std,Linear,0.016342629990187034
EC_intersection_union_sample,std,RF,0.011757521206241179
EC_intersection_union_sample,std,SVM,0.007510800939515406
EC_intersection_union_sample,min,Knn,0.7128666666666668
EC_intersection_union_sample,min,Linear,0.8494933392917489
EC_intersection_union_sample,min,RF,0.5846312824498913
EC_intersection_union_sample,min,SVM,0.9545796300036488
EC_intersection_union_sample,25%,Knn,0.7463583333333332
EC_intersection_union_sample,25%,Linear,0.887322468696847
EC_intersection_union_sample,25%,RF,0.6142077151085896
EC_intersection_union_sample,25%,SVM,0.9695727274704347
EC_intersection_union_sample,50%,Knn,0.7551111111111111
EC_intersection_union_sample,50%,Linear,0.8952087457553024
EC_intersection_union_sample,50%,RF,0.6211106282738617
EC_intersection_union_sample,50%,SVM,0.9748550557590934
EC_intersection_union_sample,75%,Knn,0.7603166666666666
EC_intersection_union_sample,75%,Linear,0.9060471243370667
EC_intersection_union_sample,75%,RF,0.6276918164322236
EC_intersection_union_sample,75%,SVM,0.9806665344932091
EC_intersection_union_sample,max,Knn,0.7954333333333334
EC_intersection_union_sample,max,Linear,0.9376405321080687
EC_intersection_union_sample,max,RF,0.6542375296980959
EC_intersection_union_sample,max,SVM,0.9891286746922447
EC_intersection_union_all,count,Knn,150.0
EC_intersection_union_all,count,Linear,150.0
EC_intersection_union_all,count,RF,150.0
EC_intersection_union_all,count,SVM,150.0
EC_intersection_union_all,mean,Knn,0.7295210997388174
EC_intersection_union_all,mean,Linear,0.9436332076082724
EC_intersection_union_all,mean,RF,0.7245418667218494
EC_intersection_union_all,mean,SVM,0.9675944968434402
EC_intersection_union_all,std,Knn,0.013843112919121438
EC_intersection_union_all,std,Linear,0.01030698609558925
EC_intersection_union_all,std,RF,0.01016244205959469
EC_intersection_union_all,std,SVM,0.013927702709348875
EC_intersection_union_all,min,Knn,0.6931933073552783
EC_intersection_union_all,min,Linear,0.912622357251836
EC_intersection_union_all,min,RF,0.6927435278592198
EC_intersection_union_all,min,SVM,0.925841915037106
EC_intersection_union_all,25%,Knn,0.7214038797553644
EC_intersection_union_all,25%,Linear,0.9376997969721583
EC_intersection_union_all,25%,RF,0.7189401498272152
EC_intersection_union_all,25%,SVM,0.9568762429026214
EC_intersection_union_all,50%,Knn,0.7291332104842365
EC_intersection_union_all,50%,Linear,0.9442709838262637
EC_intersection_union_all,50%,RF,0.7239061127801498
EC_intersection_union_all,50%,SVM,0.9680930698336877
EC_intersection_union_all,75%,Knn,0.737798875680153
EC_intersection_union_all,75%,Linear,0.9509413880144013
EC_intersection_union_all,75%,RF,0.7305590282820893
EC_intersection_union_all,75%,SVM,0.9780554569991816
EC_intersection_union_all,max,Knn,0.7647609150152294
EC_intersection_union_all,max,Linear,0.9651688989417584
EC_intersection_union_all,max,RF,0.7558723720672911
EC_intersection_union_all,max,SVM,0.9924265445556988
EC_intersection_union_distance,count,Knn,150.0
EC_intersection_union_distance,count,Linear,150.0
EC_intersection_union_distance,count,RF,150.0
EC_intersection_union_distance,count,SVM,150.0
EC_intersection_union_distance,mean,Knn,0.0927804444444444
EC_intersection_union_distance,mean,Linear,0.018471527123592485
EC_intersection_union_distance,mean,RF,0.08848328869618084
EC_intersection_union_distance,mean,SVM,0.009326956188743383
EC_intersection_union_distance,std,Knn,0.005446766565622469
EC_intersection_union_distance,std,Linear,0.003496088340140667
EC_intersection_union_distance,std,RF,0.0038791024934408803
EC_intersection_union_distance,std,SVM,0.004159182657028576
EC_intersection_union_distance,min,Knn,0.0794666666666666
EC_intersection_union_distance,min,Linear,0.0112714827640427
EC_intersection_union_distance,min,RF,0.0765967735451794
EC_intersection_union_distance,min,SVM,0.0021018724188832
EC_intersection_union_distance,25%,Knn,0.0896
EC_intersection_union_distance,25%,Linear,0.0159753467956804
EC_intersection_union_distance,25%,RF,0.08607913893645512
EC_intersection_union_distance,25%,SVM,0.00617709039490495
EC_intersection_union_distance,50%,Knn,0.0925333333333333
EC_intersection_union_distance,50%,Linear,0.0182218938936732
EC_intersection_union_distance,50%,RF,0.08858890482475029
EC_intersection_union_distance,50%,SVM,0.009104035279194799
EC_intersection_union_distance,75%,Knn,0.09619999999999992
EC_intersection_union_distance,75%,Linear,0.020473718238101575
EC_intersection_union_distance,75%,RF,0.09066995115781466
EC_intersection_union_distance,75%,SVM,0.0125551287582646
EC_intersection_union_distance,max,Knn,0.108
EC_intersection_union_distance,max,Linear,0.0293134024562351
EC_intersection_union_distance,max,RF,0.1010487475869137
EC_intersection_union_distance,max,SVM,0.0224037797940792
