,,model,0
EC_intersection_union_sample,std,Knn,0.021210320029434244
EC_intersection_union_sample,std,Linear,0.024364124116228996
EC_intersection_union_sample,std,RF,0.026393814823049835
EC_intersection_union_sample,std,SVM,0.03028356827392008
EC_intersection_union_sample,min,Knn,0.7173931623931624
EC_intersection_union_sample,min,Linear,0.5392554804052185
EC_intersection_union_sample,min,RF,0.4817206704682131
EC_intersection_union_sample,min,SVM,0.71961386137594
EC_intersection_union_sample,25%,Knn,0.7665918803418803
EC_intersection_union_sample,25%,Linear,0.5843744967163114
EC_intersection_union_sample,25%,RF,0.5433780994121226
EC_intersection_union_sample,25%,SVM,0.7745087472036485
EC_intersection_union_sample,50%,Knn,0.7778632478632479
EC_intersection_union_sample,50%,Linear,0.5986011895912227
EC_intersection_union_sample,50%,RF,0.5579946257565346
EC_intersection_union_sample,50%,SVM,0.7941867629372215
EC_intersection_union_sample,75%,Knn,0.7934081196581197
EC_intersection_union_sample,75%,Linear,0.615708072524755
EC_intersection_union_sample,75%,RF,0.5712937989114696
EC_intersection_union_sample,75%,SVM,0.8101515668936242
EC_intersection_union_sample,max,Knn,0.8295726495726495
EC_intersection_union_sample,max,Linear,0.6529831289311492
EC_intersection_union_sample,max,RF,0.6248312457813632
EC_intersection_union_sample,max,SVM,0.8657786885567216
EC_intersection_union_all,count,Knn,150.0
EC_intersection_union_all,count,Linear,150.0
EC_intersection_union_all,count,RF,150.0
EC_intersection_union_all,count,SVM,150.0
EC_intersection_union_all,mean,Knn,0.6741359274475553
EC_intersection_union_all,mean,Linear,0.6983728000741187
EC_intersection_union_all,mean,RF,0.6222779288233312
EC_intersection_union_all,mean,SVM,0.8519704881135679
EC_intersection_union_all,std,Knn,0.027287603344378596
EC_intersection_union_all,std,Linear,0.027547920060599404
EC_intersection_union_all,std,RF,0.031728538324085426
EC_intersection_union_all,std,SVM,0.03206749254350707
EC_intersection_union_all,min,Knn,0.6039993878519121
EC_intersection_union_all,min,Linear,0.6310147555931399
EC_intersection_union_all,min,RF,0.5448515731803611
EC_intersection_union_all,min,SVM,0.7612414391147835
EC_intersection_union_all,25%,Knn,0.6546223395185304
EC_intersection_union_all,25%,Linear,0.6818833916257078
EC_intersection_union_all,25%,RF,0.6023623553035888
EC_intersection_union_all,25%,SVM,0.8375982624605149
EC_intersection_union_all,50%,Knn,0.679212727487779
EC_intersection_union_all,50%,Linear,0.6967212760076806
EC_intersection_union_all,50%,RF,0.6216462495410353
EC_intersection_union_all,50%,SVM,0.858321738802392
EC_intersection_union_all,75%,Knn,0.6891581338784791
EC_intersection_union_all,75%,Linear,0.7162538531600722
EC_intersection_union_all,75%,RF,0.6448565912071951
EC_intersection_union_all,75%,SVM,0.8737418368884693
EC_intersection_union_all,max,Knn,0.7421696421221962
EC_intersection_union_all,max,Linear,0.7693398452048312
EC_intersection_union_all,max,RF,0.6941629693820363
EC_intersection_union_all,max,SVM,0.911995508143246
EC_intersection_union_distance,count,Knn,150.0
EC_intersection_union_distance,count,Linear,150.0
EC_intersection_union_distance,count,RF,150.0
EC_intersection_union_distance,count,SVM,150.0
EC_intersection_union_distance,mean,Knn,0.07813333333333328
EC_intersection_union_distance,mean,Linear,0.08865466206934632
EC_intersection_union_distance,mean,RF,0.05942393162393159
EC_intersection_union_distance,mean,SVM,0.02151275283351623
EC_intersection_union_distance,std,Knn,0.00829929614749219
EC_intersection_union_distance,std,Linear,0.010213273416550903
EC_intersection_union_distance,std,RF,0.006283887900454741
EC_intersection_union_distance,std,SVM,0.005658140902632926
EC_intersection_union_distance,min,Knn,0.0574358974358974
EC_intersection_union_distance,min,Linear,0.0636231104194414
EC_intersection_union_distance,min,RF,0.046051282051282
EC_intersection_union_distance,min,SVM,0.0122405469290356
EC_intersection_union_distance,25%,Knn,0.0738461538461538
EC_intersection_union_distance,25%,Linear,0.08149147567971354
EC_intersection_union_distance,25%,RF,0.0549230769230769
EC_intersection_union_distance,25%,SVM,0.017993747709318025
EC_intersection_union_distance,50%,Knn,0.0769230769230769
EC_intersection_union_distance,50%,Linear,0.08868179494911366
EC_intersection_union_distance,50%,RF,0.059589743589743505
EC_intersection_union_distance,50%,SVM,0.0202258180946271
EC_intersection_union_distance,75%,Knn,0.0841025641025641
EC_intersection_union_distance,75%,Linear,0.09502367817660429
EC_intersection_union_distance,75%,RF,0.06335897435897433
EC_intersection_union_distance,75%,SVM,0.023612480232715526
EC_intersection_union_distance,max,Knn,0.1035897435897435
EC_intersection_union_distance,max,Linear,0.1166471618574739
EC_intersection_union_distance,max,RF,0.0763589743589743
EC_intersection_union_distance,max,SVM,0.0410813855419524
